YEAR,WEEK,TOTAL SPECIMENS,TOTAL A&B,TOTAL A,TOTAL B
2015,40,683,2,2,0
2015,41,661,5,3,2
2015,42,609,2,2,0
2015,43,677,0,0,0
2015,44,811,9,9,0
2015,45,873,9,6,3
2015,46,943,6,4,2
2015,47,858,5,4,1
2015,48,1015,16,9,7
2015,49,985,9,6,3
2015,50,1015,19,11,8
2015,51,1110,40,22,18
2015,52,1263,52,34,18
2016,1,1431,120,85,35
2016,2,1477,148,109,39
2016,3,1627,205,137,68
2016,4,1897,255,172,83
2016,5,2037,305,205,100
2016,6,2362,499,316,183
2016,7,2543,609,387,222
2016,8,2538,592,317,275
2016,9,2497,569,304,265
2016,10,2055,400,199,201
2016,11,2102,286,121,165
2016,12,1587,207,83,124
2016,13,1376,121,61,60
2016,14,1332,95,40,55
2016,15,1045,52,29,23
2016,16,986,39,23,16
2016,17,1064,35,20,15
2016,18,785,23,9,14
2016,19,649,15,11,4
2016,20,669,12,9,3
2016,21,596,11,6,5
2016,22,489,5,2,3
2016,23,503,5,4,1
2016,24,504,5,5,0
2016,25,509,2,0,2
2016,26,398,1,0,1
2016,27,365,1,1,0
2016,28,480,4,2,2
2016,29,517,4,4,0
2016,30,433,3,2,1
2016,31,452,1,1,0
2016,32,351,1,0,1
2016,33,475,1,0,1
2016,34,382,4,3,1
2016,35,434,3,3,0
2016,36,455,6,5,1
2016,37,569,3,3,0
2016,38,564,13,9,4
2016,39,624,6,4,2
2016,40,668,2,2,0
2016,41,708,5,5,0
2016,42,719,5,3,2
2016,43,698,11,9,2
2016,44,728,9,9,0
2016,45,839,11,10,1
2016,46,878,11,10,1
2016,47,840,17,15,2
2016,48,1063,19,17,2
2016,49,1021,32,30,2
2016,50,1222,68,64,4
2016,51,1342,106,105,1
2016,52,1630,195,186,9
2017,1,1867,291,291,0
2017,2,1953,320,313,7
2017,3,1791,242,234,8
2017,4,1725,219,211,8
2017,5,1820,260,248,12
2017,6,1844,287,276,11
2017,7,1797,204,192,12
2017,8,1532,152,140,12
2017,9,1428,102,92,10
2017,10,1494,93,80,13
2017,11,1408,105,87,18
2017,12,1224,80,62,18
2017,13,1118,63,42,21
2017,14,1121,79,44,35
2017,15,870,47,19,28
2017,16,890,36,11,25
2017,17,811,33,10,23
2017,18,715,29,8,21
2017,19,689,36,7,29
2017,20,701,33,4,29
2017,21,685,38,7,31
2017,22,652,26,4,22
2017,23,626,25,5,20
2017,24,537,10,1,9
2017,25,511,13,4,9
2017,26,470,19,8,11
2017,27,416,12,5,7
2017,28,504,8,5,3
2017,29,495,7,6,1
2017,30,430,5,2,3
2017,31,393,5,4,1
2017,32,417,7,5,2
2017,33,415,3,1,2
2017,34,471,6,3,3
2017,35,555,4,3,1
2017,36,525,8,7,1
2017,37,590,9,5,4
2017,38,671,8,7,1
2017,39,788,9,8,1
2017,40,794,7,5,2
2017,41,832,19,17,2
2017,42,882,21,19,2
2017,43,922,37,34,3
2017,44,1016,67,52,15
2017,45,1086,78,70,8
2017,46,1159,99,86,13
2017,47,1272,183,172,11
2017,48,1439,213,192,21
2017,49,1807,378,336,42
2017,50,2336,674,601,73
2017,51,3143,1073,917,156
2017,52,3339,1295,1090,205
2018,1,3272,1014,823,191
2018,2,2893,639,460,179
2018,3,2476,414,269,145
2018,4,2427,403,216,187
2018,5,2509,441,208,233
2018,6,2778,485,178,307
2018,7,2605,434,142,292
2018,8,2137,294,90,204
2018,9,2130,347,94,253
2018,10,2041,334,104,230
2018,11,1976,318,91,227
2018,12,1632,167,45,122
2018,13,1308,99,23,76
2018,14,1084,80,16,64
2018,15,855,42,8,34
2018,16,568,19,8,11
2018,17,689,27,15,12
2018,18,621,11,5,6
2018,19,553,3,1,2
2018,20,519,7,2,5
2018,21,430,8,5,3
2018,22,407,2,2,0
2018,23,402,7,0,7
2018,24,350,1,0,1
2018,25,362,1,1,0
2018,26,216,1,1,0
2018,27,283,1,0,1
2018,28,193,1,1,0
2018,29,232,0,0,0
2018,30,207,2,2,0
2018,31,212,3,3,0
2018,32,219,3,3,0
2018,33,225,2,2,0
2018,34,213,0,0,0
2018,35,230,0,0,0
2018,36,269,1,0,1
2018,37,324,3,2,1
2018,38,285,1,0,1
2018,39,355,4,4,0
2018,40,409,3,2,1
2018,41,410,5,4,1
2018,42,457,7,5,2
2018,43,431,3,3,0
2018,44,549,12,11,1
2018,45,601,12,12,0
2018,46,612,13,13,0
2018,47,647,36,35,1
2018,48,846,64,64,0
2018,49,958,140,139,1
2018,50,1251,255,251,4
2018,51,1244,227,223,4
2018,52,1231,202,197,5
2019,1,1196,139,135,4
2019,2,1350,191,187,4
2019,3,1174,180,175,5
2019,4,1118,135,129,6
2019,5,1270,174,168,6
2019,6,1134,128,122,6
2019,7,1145,160,158,2
2019,8,1160,185,175,10
2019,9,1181,212,206,6
2019,10,1243,183,179,4
2019,11,1224,153,145,8
2019,12,1222,165,158,7
2019,13,1090,113,111,2
2019,14,973,95,88,7
2019,15,823,41,37,4
2019,16,747,44,42,2
2019,17,729,25,20,5
2019,18,644,26,11,15
2019,19,600,18,15,3
